FIPS,county_name,wtd_den,pop_den,population
12097,"Osceola County, Florida",2692,235,311962
45079,"Richland County, South Carolina",2686,531,401743
51830,"Williamsburg city, Virginia",2676,1681,14988
56021,"Laramie County, Wyoming",2672,36,96459
48341,"Moore County, Texas",2666,25,22186
27109,"Olmsted County, Minnesota",2660,230,150104
48451,"Tom Green County, Texas",2658,76,116264
38015,"Burleigh County, North Dakota",2657,55,90560
18035,"Delaware County, Indiana",2652,297,116463
72111,"Peñuelas Municipio, Puerto Rico",2648,498,22231
42037,"Columbia County, Pennsylvania",2643,138,66772
20175,"Seward County, Kansas",2638,36,23185
12115,"Sarasota County, Florida",2638,716,398011
36015,"Chemung County, New York",2625,215,87742
53007,"Chelan County, Washington",2624,26,74761
48485,"Wichita County, Texas",2622,211,132148
16005,"Bannock County, Idaho",2616,75,83815
29047,"Clay County, Missouri",2612,586,233135
6115,"Yuba County, California",2611,117,73897
27003,"Anoka County, Minnesota",2609,807,341249
30063,"Missoula County, Montana",2605,44,113101
24025,"Harford County, Maryland",2589,571,249776
8077,"Mesa County, Colorado",2588,45,148166
20177,"Shawnee County, Kansas",2580,328,178567
72095,"Maunabo Municipio, Puerto Rico",2576,546,11506
12009,"Brevard County, Florida",2569,552,560683
39093,"Lorain County, Ohio",2562,619,304091
23005,"Cumberland County, Maine",2559,345,288204
12111,"St. Lucie County, Florida",2556,513,293136
20111,"Lyon County, Kansas",2556,39,33401
55117,"Sheboygan County, Wisconsin",2556,225,115269
47093,"Knox County, Tennessee",2554,882,448164
55087,"Outagamie County, Wisconsin",2542,285,181799
1101,"Montgomery County, Alabama",2529,290,227392
29077,"Greene County, Missouri",2515,423,285449
20051,"Ellis County, Kansas",2509,32,29032
28049,"Hinds County, Mississippi",2496,281,244596
35009,"Curry County, New Mexico",2495,36,50544
5119,"Pulaski County, Arkansas",2494,517,391806
42081,"Lycoming County, Pennsylvania",2493,95,116313
21227,"Warren County, Kentucky",2483,224,121066
27027,"Clay County, Minnesota",2482,59,61402
41071,"Yamhill County, Oregon",2480,143,102217
31043,"Dakota County, Nebraska",2477,78,20697
39023,"Clark County, Ohio",2476,343,136175
29019,"Boone County, Missouri",2475,252,172773
27105,"Nobles County, Minnesota",2467,30,21729
12071,"Lee County, Florida",2466,868,680970
1073,"Jefferson County, Alabama",2465,593,659096
27169,"Winona County, Minnesota",2463,82,51145
35025,"Lea County, New Mexico",2455,16,68930
41053,"Polk County, Oregon",2453,106,78470
55105,"Rock County, Wisconsin",2448,224,160986
56025,"Natrona County, Wyoming",2446,15,80871
22095,"St. John the Baptist Parish, Louisiana",2444,205,43888
46011,"Brookings County, South Dakota",2443,42,33435
42041,"Cumberland County, Pennsylvania",2439,447,243838
46027,"Clay County, South Dakota",2439,34,14029
42029,"Chester County, Pennsylvania",2439,682,512028
17167,"Sangamon County, Illinois",2430,229,198639
31053,"Dodge County, Nebraska",2430,69,36679
19113,"Linn County, Iowa",2428,304,218076
24043,"Washington County, Maryland",2427,327,149571
48309,"McLennan County, Texas",2421,235,243394
34015,"Gloucester County, New Jersey",2414,905,291286
48383,"Reagan County, Texas",2413,3,3625
6023,"Humboldt County, California",2410,38,135182
31019,"Buffalo County, Nebraska",2407,50,48402
6011,"Colusa County, California",2396,19,21361
51199,"York County, Virginia",2393,639,66919
37129,"New Hanover County, North Carolina",2392,1128,216430
48465,"Val Verde County, Texas",2390,16,48862
53073,"Whatcom County, Washington",2386,99,209729
51730,"Petersburg city, Virginia",2381,1394,31997
37081,"Guilford County, North Carolina",2379,793,511815
12091,"Okaloosa County, Florida",2376,210,195798
39151,"Stark County, Ohio",2371,651,374762
45035,"Dorchester County, South Carolina",2362,259,148517
12101,"Pasco County, Florida",2359,653,488310
20057,"Ford County, Kansas",2358,31,34492
55035,"Eau Claire County, Wisconsin",2350,160,101907
72151,"Yabucoa Municipio, Puerto Rico",2345,646,35670
51820,"Waynesboro city, Virginia",2345,1422,21366
48025,"Bee County, Texas",2344,37,32706
48003,"Andrews County, Texas",2343,11,17215
55031,"Douglas County, Wisconsin",2337,34,43705
56037,"Sweetwater County, Wyoming",2333,4,44812
49045,"Tooele County, Utah",2333,9,61986
16027,"Canyon County, Idaho",2329,345,202782
72065,"Hatillo Municipio, Puerto Rico",2329,989,41327
40119,"Payne County, Oklahoma",2327,117,79953
35013,"Doña Ana County, New Mexico",2326,56,213825
53003,"Asotin County, Washington",2326,35,22113
48099,"Coryell County, Texas",2324,72,75710
40017,"Canadian County, Oklahoma",2322,145,129571
22055,"Lafayette Parish, Louisiana",2319,874,234963
17091,"Kankakee County, Illinois",2311,165,111493
5143,"Washington County, Arkansas",2301,233,219930
12033,"Escambia County, Florida",2298,471,309574
46013,"Brown County, South Dakota",2294,22,38430
53017,"Douglas County, Washington",2292,22,40101
19057,"Des Moines County, Iowa",2291,96,40114
27163,"Washington County, Minnesota",2290,647,248745
17029,"Coles County, Illinois",2290,104,52802
31179,"Wayne County, Nebraska",2272,21,9414
27137,"St. Louis County, Minnesota",2272,32,200353
48507,"Zavala County, Texas",2269,9,12107
72043,"Coamo Municipio, Puerto Rico",2268,514,40090
72129,"San Lorenzo Municipio, Puerto Rico",2267,740,39283
36027,"Dutchess County, New York",2266,372,295905
51790,"Staunton city, Virginia",2263,1214,24234
39101,"Marion County, Ohio",2261,163,65620
53035,"Kitsap County, Washington",2254,652,257488
72003,"Aguada Municipio, Puerto Rico",2252,1299,40083
6051,"Mono County, California",2251,5,14051
22109,"Terrebonne Parish, Louisiana",2248,92,113099
16057,"Latah County, Idaho",2245,36,38593
48103,"Crane County, Texas",2239,6,4823
13245,"Richmond County, Georgia",2238,621,201418
41043,"Linn County, Oregon",2235,52,119862
72071,"Isabela Municipio, Puerto Rico",2224,794,43919
12127,"Volusia County, Florida",2223,464,510806
40031,"Comanche County, Oklahoma",2220,117,124583
16069,"Nez Perce County, Idaho",2219,47,39995
39099,"Mahoning County, Ohio",2213,566,233015
39043,"Erie County, Ohio",2213,301,75808
23001,"Androscoggin County, Maine",2208,229,107376
39057,"Greene County, Ohio",2204,397,164325
37147,"Pitt County, North Carolina",2203,268,175150
21047,"Christian County, Kentucky",2201,103,73936
22017,"Caddo Parish, Louisiana",2197,288,253125
35049,"Santa Fe County, New Mexico",2196,77,147320
17111,"McHenry County, Illinois",2195,509,307083
72023,"Cabo Rojo Municipio, Puerto Rico",2191,712,50096
48273,"Kleberg County, Texas",2186,36,31877
53067,"Thurston County, Washington",2178,369,266311
36035,"Fulton County, New York",2168,110,54297
26121,"Muskegon County, Michigan",2165,344,172148
21015,"Boone County, Kentucky",2162,510,125656
18167,"Vigo County, Indiana",2159,268,108099
5131,"Sebastian County, Arkansas",2155,239,127351
48039,"Brazoria County, Texas",2154,249,338419
26049,"Genesee County, Michigan",2150,649,413090
72059,"Guayanilla Municipio, Puerto Rico",2150,474,20025
36013,"Chautauqua County, New York",2148,124,131748
12085,"Martin County, Florida",2144,282,153592
18043,"Floyd County, Indiana",2139,516,76290
30031,"Gallatin County, Montana",2137,38,97958
21059,"Daviess County, Kentucky",2131,215,98724
15007,"Kauai County, Hawaii",2131,114,70447
27099,"Mower County, Minnesota",2129,55,39248
17115,"Macon County, Illinois",2128,187,108404
37051,"Cumberland County, North Carolina",2121,499,325841
19047,"Crawford County, Iowa",2117,24,17147
26057,"Gratiot County, Michigan",2116,73,41676
53057,"Skagit County, Washington",2090,70,120475
31141,"Platte County, Nebraska",2088,49,32703
16083,"Twin Falls County, Idaho",2087,42,80955
51775,"Salem city, Virginia",2087,1751,25290
17001,"Adams County, Illinois",2084,78,66949
48187,"Guadalupe County, Texas",2082,207,147313
35005,"Chaves County, New Mexico",2075,11,65610
18091,"LaPorte County, Indiana",2071,186,110993
55039,"Fond du Lac County, Wisconsin",2069,142,101968
